Control ID,Control Implementation Description,Control Owner,Stakeholder(s),Linked Requirements,Created Date,Last Modified
DE.CM-03 Ex2,"Personnel activity monitoring includes: (1) CloudTrail logging all IAM actions, (2) SSO authentication logs via Windows Authenticator and Palo Alto 2FA, (3) failed authentication alerting and tracking. The IAM team reviews anomalies daily. SOC dashboards (60% complete) will provide consolidated access pattern visibility.",Nadia.Khan,"Jane; John",DE.CM-03 Ex2,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
DE.CM-09 Ex1,"Computing environment monitoring includes: (1) O365 ATP for email and web traffic with Alma-specific threat rules, (2) Slack monitoring for policy violations, (3) system monitoring policy defining coverage scope. Data leak detection capabilities are evaluated for expansion. Collaboration service monitoring covers Outlook 365 and Slack.",Tigan.Wang,"Jane; John",DE.CM-09 Ex1,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
ID.AM-02 Ex2,"Software inventory is maintained through: (1) AWS native tools for cloud asset tracking (85% coverage), (2) discovery scans for on-premises systems, (3) container and VM monitoring via Kubernetes native capabilities. Asset inventory system procurement aligns with ASM vendor selection (STS4) to achieve comprehensive coverage.",Chris.Magann,"Jane; John",ID.AM-02 Ex2,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
ID.AM-07 Ex3,"Data classification uses a tiered schema with biometric data classified as highest sensitivity per SG1. Classification tags are applied through: (1) data classification policy defining categories, (2) tagging implementation in production systems, (3) data scanning tool deployment (selected, scheduling underway). Metadata inventories track designated data types.",Chris.Magann,"Jane; John",ID.AM-07 Ex3,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
ID.IM-01 Ex1,"Improvement identification uses: (1) quarterly self-assessments of critical services, (2) threat-informed risk assessments for crown jewel systems, (3) KPI-driven analysis identifying gaps. TTD/TTR metric trends inform security investment decisions. Risk assessment methodology incorporates current threat intelligence and TTPs.",Chris.Magann,"Jane; John",ID.IM-01 Ex1,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
RS.MA-03 Ex2,"Incident prioritization uses a documented priority matrix based on: (1) scope of impact, (2) likely business impact, (3) time-critical nature. The SOC Manager validates prioritization decisions. Sample ticket audits verify consistent application. Incident tickets in ServiceNow capture categorization with priority justification.",Nadia.Khan,"Jane; John",RS.MA-03 Ex2,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
DE.AE-02 Ex3,"Manual log review is performed for systems not covered by automated monitoring: (1) review cadence defined by system criticality, (2) documented review process with finding templates, (3) SIEM console used for manual analysis. Automation gaps are tracked and addressed through tooling investments. Findings are documented with remediation tracking.",Jane,John,DE.AE-02 Ex3,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
DE.AE-08 Ex1,"Incident declaration follows documented criteria defining thresholds by severity level. The SOC Manager has authority to declare incidents when adverse events meet criteria. The process includes: (1) applying criteria to event characteristics, (2) documenting declaration rationale in tickets, (3) lessons learned feeding continuous improvement.",Gerry,"Jane; John",DE.AE-08 Ex1,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
ID.RA-08 Ex1,"Vulnerability disclosure processes include: (1) disclosure policy with defined response SLAs, (2) external disclosure intake via security@almasecurity.com, (3) supplier vulnerability sharing per contract requirements. Disclosures are analyzed, prioritized, and tracked through remediation. Sample disclosures demonstrate SLA compliance.",Gerry,"Jane; John",ID.RA-08 Ex1,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
PR.AA-02 Ex2,"Identity management enforces credential uniqueness through: (1) no shared accounts policy in Information Security Policy, (2) individual credentials issued via SSO, (3) quarterly privileged access reviews by IAM team. The MFA Rollout project ($80K) supports the Apple Passkey partnership (G8). Shared developer SSH key is identified for Q3 remediation.",Gerry,"Jane; John",PR.AA-02 Ex2,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
PR.DS-10 Ex1,"Data-in-use protection includes: (1) memory handling procedures for sensitive applications, (2) sensitive data retention limits enforced via application controls, (3) source code reviews for crown jewel systems verifying secure data handling. Application owners provide attestations. Biometric data handling receives enhanced scrutiny per SG1.",Gerry,"Jane; John",PR.DS-10 Ex1,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
