Requirement ID,Framework,CSF Function,CSF Function Description,Category Name,Category Description,Subcategory ID,Subcategory Description,Implementation Example,Implementation Description (Control),Control Owner,Stakeholders,Artifacts,Findings,Control Evaluation Back Link
DE.CM-09 Ex5,NIST CSF 2.0,DETECT (DE),Possible cybersecurity attacks and compromises are found and analyzed,Continuous Monitoring (DE.CM),"Anomalies
indicators of compromise and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE.CM-09,"Computing hardware and software
runtime environments
and their data are monitored to find potentially adverse events","Ex5: Use technologies with a presence on endpoints to detect cyber health issues (e.g., missing patches, malware infections, unauthorized software), and redirect the endpoints to a remediation environment before access is authorized",,,,,,
GV.OC-01 Ex1,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-01,The organizational mission is understood and informs cybersecurity risk management,"Ex1: Share the organization's mission (e.g., through vision and mission statements, marketing, and service strategies) to provide a basis for identifying risks that may impede that mission","Alma Security's mission ""to ensure businesses can continuously authenticate their users using their whole selves"" is documented on the company website and communicated through quarterly Board briefings and monthly management meetings. Security investments and risk appetite decisions are explicitly tied to mission objectives, including strategic partnerships like the Apple Passkey integration (G8).",,,,,WP-13
GV.OC-02 Ex1,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-02,"Internal and external stakeholders are understood
and their needs and expectations regarding cybersecurity risk management are understood and considered","Ex1: Identify relevant internal stakeholders and their cybersecurity-related expectations (e.g., performance and risk expectations of officers, directors, and advisors; cultural expectations of employees)","Alma Security identifies stakeholder expectations through:
- (1) quarterly Board meetings capturing director expectations,
- (2) monthly executive meetings for officer input,
- (3) employee training feedback via Workday, and
- (4) customer trust surveys following the 2022 security events. Expectations are documented in the security service catalog and inform the public trust rebuilding program.",CPA to Cybersecurity,Steve McMichael,,,WP-14
GV.OC-02 Ex2,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-02,"Internal and external stakeholders are understood
and their needs and expectations regarding cybersecurity risk management are understood and considered","Ex2: Identify relevant external stakeholders and their cybersecurity-related expectations (e.g., privacy expectations of customers, business expectations of partnerships, compliance expectations of regulators, ethics expectations of society)",,CPA to Cybersecurity,Steve McMichael,,,
GV.OC-03 Ex1,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-03,"Legal
regulatory
and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","Ex1: Determine a process to track and manage legal and regulatory requirements regarding protection of individuals' information (e.g., Health Insurance Portability and Accountability Act, California Consumer Privacy Act, General Data Protection Regulation)",,CPA to Cybersecurity,Steve McMichael,,,
GV.OC-03 Ex2,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-03,"Legal
regulatory
and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","Ex2: Determine a process to track and manage contractual requirements for cybersecurity management of supplier, customer, and partner information",,CPA to Cybersecurity,Steve McMichael,,,
GV.OC-03 Ex3,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-03,"Legal
regulatory
and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed","Ex3: Align the organization's cybersecurity strategy with legal, regulatory, and contractual requirements",,CPA to Cybersecurity,Steve McMichael,,,
GV.OC-04 Ex1,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-04,"Critical objectives
capabilities
and services that external stakeholders depend on or expect from the organization are understood and communicated",Ex1: Establish criteria for determining the criticality of capabilities and services as viewed by internal and external stakeholders,,CPA to Cybersecurity,Steve McMichael,,,
GV.OC-04 Ex2,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-04,"Critical objectives
capabilities
and services that external stakeholders depend on or expect from the organization are understood and communicated","Ex2: Determine (e.g., from a business impact analysis) assets and business operations that are vital to achieving mission objectives and the potential impact of a loss (or partial loss) of such operations",,CPA to Cybersecurity,Steve McMichael,,,
GV.OC-04 Ex3,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-04,"Critical objectives
capabilities
and services that external stakeholders depend on or expect from the organization are understood and communicated","Ex3: Establish and communicate resilience objectives (e.g., recovery time objectives) for delivering critical capabilities and services in various operating states (e.g., under attack, during recovery, normal operation)",,CPA to Cybersecurity,Steve McMichael,,,
GV.OC-05 Ex1,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-05,"capabilities
Outcomes
and services that the organization depends on are understood and communicated","Ex1: Create an inventory of the organization's dependencies on external resources (e.g., facilities, cloud-based hosting providers) and their relationships to organizational assets and business functions",,CPA to Cybersecurity,Steve McMichael,,,
GV.OC-05 Ex2,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Organizational Context (GV.OC),"The circumstances - mission
stakeholder expectations
dependencies and legal
regulatory and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",GV.OC-05,"capabilities
Outcomes
and services that the organization depends on are understood and communicated","Ex2: Identify and document external dependencies that are potential points of failure for the organization's critical capabilities and services, and share that information with appropriate personnel",,CPA to Cybersecurity,Steve McMichael,,,
GV.OV-01 Ex1,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform
improve
and adjust the risk management strategy",GV.OV-01,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Ex1: Measure how well the risk management strategy and risk results have helped leaders make decisions and achieve organizational objectives,,CPA to Cybersecurity,Steve McMichael,,,
GV.OV-01 Ex2,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform
improve
and adjust the risk management strategy",GV.OV-01,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Ex2: Examine whether cybersecurity risk strategies that impede operations or innovation should be adjusted,"Alma Security tracks five KPIs quarterly: Time to Detect (TTD), Time to Investigate (TTI), Time to Remediate Crown Jewels (TTR-CJC), Time to Remediate All Systems (TTR-C), and Public Trust Score. Board and management review KPI trends to adjust strategy. Investments in detection capabilities are approved based on demonstrated KPI improvement, balancing security with operational and innovation needs.",CPA to Cybersecurity,Steve McMichael,,,WP-15
GV.OV-02 Ex1,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform
improve
and adjust the risk management strategy",GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Ex1: Review audit findings to confirm whether the existing cybersecurity strategy has ensured compliance with internal and external requirements,,CPA to Cybersecurity,Steve McMichael,,,
GV.OV-02 Ex2,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform
improve
and adjust the risk management strategy",GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Ex2: Review the performance oversight of those in cybersecurity-related roles to determine whether policy changes are necessary,,CPA to Cybersecurity,Steve McMichael,,,
GV.OV-02 Ex3,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform
improve
and adjust the risk management strategy",GV.OV-02,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Ex3: Review strategy in light of cybersecurity incidents,,CPA to Cybersecurity,Steve McMichael,,,
GV.OV-03 Ex1,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform
improve
and adjust the risk management strategy",GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,Ex1: Review key performance indicators (KPIs) to ensure that organization-wide policies and procedures achieve objectives,,CPA to Cybersecurity,Steve McMichael,,,
GV.OV-03 Ex2,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform
improve
and adjust the risk management strategy",GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,"Ex2: Review key risk indicators (KRIs) to identify risks the organization faces, including likelihood and potential impact",,CPA to Cybersecurity,Steve McMichael,,,
GV.OV-03 Ex3,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Oversight (GV.OV),"Results of organization-wide cybersecurity risk management activities and performance are used to inform
improve
and adjust the risk management strategy",GV.OV-03,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,Ex3: Collect and communicate metrics on cybersecurity risk management with senior leadership,,CPA to Cybersecurity,Steve McMichael,,,
GV.PO-01 Ex1,NIST CSF 2.0,GOVERN (GV),The organization's cybersecurity risk management strategy expectations and policy are established communicated and monitored,Policy (GV.PO),"Policy for managing cybersecurity risks is established based on organizational context
cybersecurity strategy
and priorities and is communicated and enforced",GV.PO-01,"Policy for managing cybersecurity risks is established based on organizational context
cybersecurity strategy
and priorities and is communicated and enforced","Ex1: Create, disseminate, and maintain an understandable, usable risk management policy with statements of management intent, expectations, and direction",,CPA to Cybersecurity,Steve McMichael,,,
